"","Source","ParticipantID","Study_ID","ID","z_long_string","z_irv","z_psychsyn","z_evenodd","Exclude"
"159","CPC","CP0163","CP0163","QT249",0.610435444686506,0.0133933817377114,1.23164194700862,-0.101805878220407,0
"160","CPC","CP0164","CP0164","QT250",0.159773699305598,1.51823034219099,0.833603350212757,-0.107177814250207,0
"161","CPC","CP0165","CP0165","QT251",0.00955311751196184,1.1357498108257,1.84918967132086,-0.533061912336012,0
"162","CPC","CP0166","CP0166","QT252",-0.29088804607531,-0.0385723749974949,0.698579306804024,-0.00855591466227268,0
"163","CPC","CP0167","CP0167","QT253",0.760656026480142,-0.013149585173338,1.39703011644932,-0.212763123049831,0
"164","CPC","CP0168","CP0168","QT255",0.610435444686506,-1.57483321055436,0.668275344450972,-0.916501571674251,0
"165","CPC","CP0169","CP0169","QT256",0.159773699305598,0.950328606339281,1.157822438373,-0.660543726278237,0
"166","CPC","CP0170","CP0170","QT257",8.72234686154285,-4.59430094283554,NA,-0.635255911597019,1
"167","CPC","CP0171","CP0171","QT259",0.760656026480142,1.81956447536899,-2.02668994304474,2.08386422193183,1
"168","CPC","CP0172","CP0172","QT260",-0.29088804607531,-0.0821198381784013,1.45458524684056,-0.606706524187011,0
"169","CPC","CP0173","CP0173","QT261",0.46021486289287,0.119302577315633,NA,-0.00655096842111342,0
"170","CPC","CP0174","CP0174","QT263",1.51175893544832,-1.26389440620354,0.11694241722587,-0.896078003466345,0
"171","CPC","CP0175","CP0175","QT264",-0.140667464281674,-0.544693622808409,0.365297405371439,2.08386422193183,1
"172","CPC","CP0176","CP0176","QT265",-0.29088804607531,0.287546939088256,-0.610648301841618,0.683718720816891,0
"173","CPC","CP0177","CP0177","QT266",0.610435444686506,0.548231968549944,-0.457187873664696,2.08386422193183,1
"174","CPC","CP0178","CP0178","QT267",0.159773699305598,-0.33093378434733,-0.986961698632427,-0.267959241970501,0
"175","CPC","CP0179","CP0179","QT269",-0.441108627868946,0.609969268651173,-0.130824478631723,-0.023907351421347,0
"176","CPC","CP0180","CP0180","QT271",0.00955311751196184,-0.857948821116518,0.103053977002333,-0.638266287452633,0
"177","CPC","CP0181","CP0181","QT272",0.760656026480142,0.341962238117372,0.183912478963607,-0.0954407890344108,0
"178","CPC","CP0182","CP0182","QT273",0.46021486289287,0.297053954679227,0.334065497551163,-0.59229412435949,0
"179","CPC","CP0183","CP0183","QT275",0.309994281099234,1.02109626152713,-0.215142453091401,0.223426532014958,0
"180","CPC","CP0184","CP0184","QT276",-0.591329209662582,0.142652600769928,-1.99230974789135,-0.832455788465291,0
"181","CPC","CP0185","CP0185","QT277",-0.441108627868946,-0.127391540381268,-1.83980933478075,2.08386422193183,1
"182","CPC","CP0186","CP0186","QT278",0.159773699305598,0.103259371783641,0.953084093872534,0.389692145057579,0
"183","CPC","CP0187","CP0187","QT279",1.51175893544832,0.998298836066052,1.42258885103178,-0.75835439545636,0
"184","CPC","CP0188","CP0188","QT281",-0.140667464281674,0.508555711352613,0.424311191159204,1.44627378273632,0
"185","CPC","CP0189","CP0189","QT283",-0.29088804607531,0.96079215508639,-1.22317230850198,-0.284108507468224,0
"186","CPC","CP0190","CP0190","QT284",-0.29088804607531,0.754146966608139,1.56101804295133,-0.836971989572048,0
"187","CPC","CP0191","CP0191","QT286",-0.441108627868946,-0.593746608268077,-0.759258543539617,2.08386422193183,1
"188","CPC","CP0192","CP0192","QT288",1.36153835365469,1.11035727804331,0.551883961087233,2.08386422193183,1
"189","CPC","CP0193","CP0193","QT289",0.309994281099234,1.13574981082571,0.266069452921439,2.08386422193183,1
"190","CPC","CP0194","CP0194","QT290",-0.140667464281674,-1.14904879306144,-0.0890899670611011,-0.78346429369041,0
"191","CPC","CP0195","CP0195","QT291",0.159773699305598,0.439811799168616,0.68592207984334,1.7861678277234,0
"192","CPC","CP0196","CP0196","QT292",-0.441108627868946,0.998298836066051,1.3675094360054,2.08386422193183,1
"193","CPC","CP0197","CP0197","QT293",0.610435444686506,-0.187598756353359,-1.81579102048389,-0.256733048016942,0
"194","CPC","CP0198","CP0198","QT295",0.00955311751196184,0.562891120717974,0.9494991446122,2.08386422193183,1
"195","CPC","CP0199","CP0199","QT297",-0.441108627868946,0.312463568442553,0.173478322825058,-0.316601601019027,0
"196","CPC","CP0200","CP0200","QT299",-0.441108627868946,0.548231968549945,-0.376285615898842,-0.551587172848974,0
"197","CPC","CP0201","CP0201","QT300",1.36153835365469,1.15093146090843,0.0329033663566314,1.11276283072191,0
"198","CPC","CP0202","CP0202","QT301",-0.591329209662582,0.560638579853342,-0.000522173171105859,0.14733347094183,0
"199","CPC","CP0203","CP0203","QT303",-0.441108627868946,-1.01999348687965,-0.141025252043718,-0.16683761840358,0
"200","CPC","CP0204","CP0204","QT304",-0.441108627868946,0.756318043583874,1.84918967132086,2.08386422193183,1
"201","CPC","CP0205","CP0205","QT306",-0.29088804607531,0.23372117204298,-1.19986134621088,-0.478182068029099,0
"202","CPC","CP0206","CP0206","QT308",-0.441108627868946,-0.166564258846469,0.165812870089632,0.660025806258578,0
"203","CPC","CP0207","CP0207","QT310",-0.29088804607531,0.783382551042202,-0.943313285555078,-0.903800277775424,0
"204","CPC","CP0208","CP0208","QT312",1.21131777186105,1.04380150732961,0.909582728779802,-0.139922923207861,0
"205","CPC","CP0209","CP0209","QT314",1.06109719006741,-0.445528007448701,-0.247213202362069,-0.468933793092582,0
"206","CPC","CP0210","CP0210","QT316",0.760656026480142,-2.02134119327755,-1.03137011415861,0.0314130877868925,1
"207","CPC","CP0211","CP0211","QT318",-0.29088804607531,0.753061097566504,0.212142621157364,-0.297987837049013,0
"208","CPC","CP0212","CP0212","QT320",0.610435444686506,-0.256665271463298,0.125545332356489,-0.685796202008473,0
"209","CPC","CP0213","CP0213","QT321",-0.29088804607531,1.08791798477069,-0.903507903473654,-0.913137041306002,0
"210","CPC","CP0214","CP0214","QT322",-0.29088804607531,1.3065056292686,-0.218746276636821,1.52808420551711,0
"211","CPC","CP0215","CP0215","QT325",1.36153835365469,-0.35552245748381,0.0999139591123859,-0.858441999301074,0
"212","CPC","CP0216","CP0216","QT327",1.51175893544832,0.879706927208197,1.25776186971014,-0.0560936309017871,0
"213","CPC","CP0218","CP0218","QT328",-0.29088804607531,0.472008371487957,1.44726038349844,-0.252889066474121,0
"214","CPC","CP0219","CP0219","QT329",-0.29088804607531,0.237328211854958,1.51758869605567,-0.763435730172426,0
"215","CPC","CP0220","CP0220","QT330",-0.140667464281674,0.305357461149351,1.51758869605567,-0.80872822098074,0
"216","CPC","CP0221","CP0221","QT331",1.51175893544832,1.42054613108544,0.953084093872533,2.08386422193183,1
"217","CPC","CP0222","CP0222","QT332",-0.29088804607531,1.24914767636213,1.3745393668088,2.08386422193183,1
"218","CPC","CP0223","CP0223","QT334",0.46021486289287,1.02109626152713,1.69040568544786,0.27950873554879,0
"219","CPC","CP0225","CP0225","QT336",-0.29088804607531,0.555002916724628,1.84918967132086,-0.742548182673457,0
"220","CPC","CP0226","CP0226","QT337",-0.591329209662582,0.402761707804063,1.37736629968499,0.545956327268793,0
"221","CPC","CP0227","CP0227","QT338",-0.591329209662582,-0.0372978670503817,1.34709604087359,0.8270063330801,0
"222","CPC","CP0228","CP0228","QT340",-0.140667464281674,1.36038644533796,0.445549417645759,-0.820549362946471,0
"223","CPC","CP0229","CP0229","QT342",-0.441108627868946,0.892422409776426,-0.151593926820398,-0.16568811822281,0
"224","CPC","CP0230","CP0230","QT344",-0.140667464281674,0.509693598902537,-1.84187595403224,0.318657861686418,0
